Water quality control area,Source,Monitoring station,Date,Sample number,Depth,Five-day biochemical oxygen demand (mg/L),Chlorophyll-a (µg/L),Dissolved oxygen saturation percentage (percentage),Dissolved oxygen (mg/L),Escherichia coli (colony count/100 ml),Fecal coliforms (colony count/100 ml),Nitrate nitrogen (mg/L),Nitrite nitrogen (mg/L),pH value,Magnesium-depleted pigment (µg/L),Salinity (psu),Transparency (meters),Silicon (silicon dioxide) (mg/L),Suspended solids (mg/L),Temperature (Celsius),Inorganic nitrogen (mg/L),Kjeldahl nitrogen (mg/L),Total nitrogen (mg/L),Total phosphorus (mg/L),Turbidity (NTU),Non-ionized ammonia nitrogen (mg/L),Total volatile solids (mg/L),Ammonia nitrogen (mg/L),Orthophosphate (mg/L)
Dapeng Bay,Bay,MM16,2017-05-03,1,middle layer,<0.1,1.1,68,4.7,<1,1,0.025,0.01,7.9,0.9,34.1,4,0.75,8,24,0.05,0.58,0.62,0.08,3.2,<0.001,1.3,0.038,0.013
Dapeng Bay,Bay,MM16,2017-05-04,1,bottom layer,<0.1,0.5,53,3.7,<1,<1,0.058,0.021,7.9,0.5,34.2,4,1.2,24,23.4,0.09,0.48,0.56,0.12,6.9,<0.001,2.9,0.017,0.011
Dapeng Bay,Bay,MM16,2017-05-05,1,surface layer,0.6,1.1,94,6.1,<1,<1,<0.002,<0.002,8.1,<0.2,31.8,6,0.43,<0.5,28.6,0.01,0.49,0.49,0.02,2.5,<0.001,<0.5,0.016,0.009
Dapeng Bay,Bay,MM16,2017-05-06,1,middle layer,0.6,2.5,88,5.7,<1,<1,<0.002,0.003,8,1.3,32.3,6,0.38,0.7,27.9,0.02,0.49,0.5,<0.02,2.1,0.001,0.7,0.012,0.011
Dapeng Bay,Bay,MM16,2017-05-07,1,bottom layer,0.5,1.4,13,0.9,<1,1,0.15,0.004,7.8,0.5,33.7,6,2.9,2.8,24.6,0.16,0.38,0.53,0.05,3.6,<0.001,1,0.025,<0.002
Dapeng Bay,Bay,MM16,2017-05-08,1,surface layer,0.8,2.9,93,6.2,<1,<1,0.14,0.009,8.1,1.2,31.3,2.5,1.4,2.2,27.1,0.16,0.21,0.36,0.03,3.8,<0.001,0.9,0.041,0.014
Dapeng Bay,Bay,MM16,2017-05-09,1,middle layer,0.5,0.9,87,5.9,<1,<1,0.17,0.018,8,<0.2,31.5,2.5,1.5,4.4,26.4,0.19,0.17,0.36,0.04,4.1,<0.001,0.7,0.041,<0.002
Dapeng Bay,Bay,MM16,2017-05-10,1,bottom layer,0.5,0.6,85,5.7,<1,1,0.13,0.034,8,<0.2,31.7,2.5,1.4,4.6,26.5,0.17,0.3,0.46,0.05,5.1,<0.001,1,0.051,0.011
Dapeng Bay,Bay,MM16,2017-05-11,1,surface layer,0.5,2.1,81,5.8,<1,<1,0.024,0.023,7.9,<0.2,30.7,2.5,0.71,14,23.6,0.08,0.18,0.23,0.02,5.8,0.001,1.8,0.05,0.023
Dapeng Bay,Bay,MM16,2017-05-12,1,middle layer,0.5,1.4,91,6.3,<1,<1,0.026,0.024,7.9,1.4,31.3,2.5,0.73,20,24.5,0.09,0.23,0.28,0.02,6.2,0.002,1.8,0.033,0.011
Dapeng Bay,Bay,MM16,2017-05-13,1,bottom layer,0.4,1,92,6.4,<1,1,0.025,0.023,8,1.3,31.3,2.5,0.71,21,24.5,0.08,0.28,0.33,0.02,7.1,0.001,2.6,0.032,0.011
Dapeng Bay,Bay,MM16,2017-05-14,1,surface layer,0.5,1.9,94,6.8,<1,<1,0.12,0.014,7.9,1.9,30.9,3.5,1.3,1,22.7,0.14,0.64,0.77,0.04,3.2,<0.001,0.6,0.034,0.016
Dapeng Bay,Bay,MM16,2017-05-15,1,middle layer,0.2,1.6,95,6.9,<1,<1,0.12,0.017,7.9,<0.2,31,3.5,1.2,2.3,22.3,0.15,0.25,0.39,0.03,3.6,<0.001,0.8,0.04,0.008
Dapeng Bay,Bay,MM16,2017-05-16,1,bottom layer,0.3,0.7,91,6.6,<1,<1,0.074,0.042,7.9,0.3,31.1,3.5,1.1,4.3,22.2,0.13,0.2,0.32,0.02,4.5,<0.001,0.6,0.034,0.006
Dapeng Bay,Bay,MM17,2017-05-17,1,surface layer,1.8,1.4,99,7.6,1,2,0.057,0.008,7.8,0.4,31.9,3.5,0.36,12,18.9,0.11,0.5,0.57,<0.02,0.6,<0.001,2.4,0.014,0.017
Dapeng Bay,Bay,MM17,2017-05-18,1,middle layer,1.5,2.5,100,7.7,<1,<1,0.021,0.007,7.9,0.5,31.9,3.5,0.37,8.2,18.9,0.07,0.66,0.69,0.04,0.6,<0.001,1.5,0.021,0.01
Dapeng Bay,Bay,MM17,2017-05-19,1,bottom layer,1.2,2.6,101,7.7,<1,<1,0.056,0.008,7.9,0.7,31.9,3.5,0.38,9,18.9,0.1,0.47,0.53,0.05,0.6,<0.001,1.8,0.026,0.013
Dapeng Bay,Bay,MM17,2017-05-20,1,surface layer,2.2,4.9,103,8.6,<1,<1,0.077,0.008,8.1,4.6,30.8,4,0.79,0.8,15,0.16,0.45,0.54,0.05,0.7,0.002,0.6,<0.005,0.021
Dapeng Bay,Bay,MM17,2017-05-21,1,middle layer,2.3,6.2,103,8.6,<1,1,0.075,0.009,8.1,1.8,30.8,4,0.79,<0.5,14.9,0.14,0.5,0.58,0.06,0.5,0.002,<0.5,0.014,0.017
Dapeng Bay,Bay,MM17,2017-05-22,1,bottom layer,1.4,2.9,103,8.6,<1,<1,0.074,0.008,8.1,1.1,30.8,4,0.78,0.6,14.9,0.14,0.47,0.55,0.06,0.6,0.002,<0.5,0.01,0.002
Dapeng Bay,Bay,MM17,2017-05-23,1,surface layer,1.7,5.4,82,6.6,<1,<1,0.013,<0.002,8.2,3.1,31.4,3,0.99,1.5,16.1,0.07,0.25,0.27,0.02,0.8,0.002,0.9,0.008,0.014
Dapeng Bay,Bay,MM17,2017-05-24,1,middle layer,0.6,2.3,75,6.1,1,1,0.012,<0.002,8.2,1.7,31.4,3,0.94,1,16.1,0.06,0.26,0.27,0.02,0.7,0.002,0.5,0.011,0.018
Dapeng Bay,Bay,MM17,2017-05-25,1,bottom layer,0.6,<0.2,89,7.2,<1,<1,0.021,0.004,8.2,<0.2,31.3,3,0.95,1.7,16.2,0.07,0.23,0.26,0.03,0.9,0.002,0.6,0.008,<0.002
Dapeng Bay,Bay,MM17,2017-05-26,1,surface layer,2.7,5.4,93,7,4,16,0.019,<0.002,8.1,3.4,30.8,4.5,0.89,2.8,20.3,0.13,0.47,0.49,0.04,0.4,0.004,1.8,0.007,<0.002
Dapeng Bay,Bay,MM17,2017-05-27,1,middle layer,1.1,0.3,90,6.8,41,72,0.009,<0.002,8.1,<0.2,31.3,4.5,0.84,0.7,19.8,0.07,0.32,0.33,<0.02,0.2,0.002,<0.5,0.013,0.009
Dapeng Bay,Bay,MM17,2017-05-28,1,bottom layer,0.9,0.6,59,4.6,51,88,0.007,<0.002,7.8,<0.2,32.2,4.5,1.1,<0.5,17.7,0.07,0.64,0.65,0.08,0.2,<0.001,<0.5,0.012,0.01
Dapeng Bay,Bay,MM17,2017-05-29,1,surface layer,1,0.5,86,6,<1,2,0.006,<0.002,7.7,<0.2,31.3,5,0.4,0.9,24.9,0.05,0.26,0.27,<0.02,1.3,<0.001,0.6,0.017,0.01
Dapeng Bay,Bay,MM17,2017-05-30,1,middle layer,1.1,1.2,76,5.3,<1,<1,0.004,0.002,7.7,<0.2,31.6,5,0.31,1.7,24.8,0.04,0.89,0.9,<0.02,0.4,<0.001,0.9,0.009,0.008
Dapeng Bay,Bay,MM17,2017-05-31,1,bottom layer,0.9,1.6,82,5.7,<1,<1,0.011,0.003,7.6,<0.2,32.1,5,0.59,0.9,24.1,0.06,0.6,0.61,<0.02,0.4,<0.001,0.7,0.011,0.006
Dapeng Bay,Bay,MM17,2017-06-01,1,surface layer,0.8,1.7,97,6.4,<1,2,0.002,<0.002,8.2,<0.2,31.3,5,0.98,7.4,28.2,0.03,0.41,0.41,0.04,0.9,0.002,1.4,0.015,0.008
Dapeng Bay,Bay,MM17,2017-06-02,1,middle layer,0.7,3.4,68,4.5,<1,5,<0.002,0.004,8.1,0.5,31.3,5,0.68,7.3,28.3,0.02,0.53,0.54,0.03,0.9,0.001,1.6,0.015,0.007
Dapeng Bay,Bay,MM17,2017-06-03,1,bottom layer,0.3,2.6,73,4.7,1,1,0.033,0.053,7.9,0.4,31.9,5,1.2,11,28.2,0.1,0.51,0.6,0.03,2.5,<0.001,2.2,0.12,0.017
Dapeng Bay,Bay,MM17,2017-06-04,1,surface layer,1.7,5.3,95,6.2,<1,5,0.002,<0.002,7.9,0.9,27.6,2.5,0.38,2.8,30,0.02,0.15,0.15,0.08,1.1,<0.001,2.1,0.096,0.019
Dapeng Bay,Bay,MM17,2017-06-05,1,middle layer,0.5,1,91,6,<1,1,0.036,0.017,7.5,0.3,31.6,2.5,0.95,0.8,27.7,0.1,0.87,0.92,0.03,0.4,<0.001,0.6,0.07,0.013
Dapeng Bay,Bay,MM17,2017-06-06,1,bottom layer,0.7,0.8,33,2.4,<1,1,0.14,0.003,7.3,<0.2,34.6,2.5,1.9,1.4,23,0.16,0.59,0.73,0.04,1.1,<0.001,0.8,0.16,0.008
Dapeng Bay,Bay,MM17,2017-06-07,1,surface layer,1.4,1.9,94,6.2,1,3,<0.002,<0.002,8.1,1.2,33,4.2,0.24,9,27.6,0.02,0.63,0.63,<0.02,2.5,0.001,1.7,0.13,0.007
Dapeng Bay,Bay,MM17,2017-06-08,1,middle layer,1.7,4.7,81,5.4,1,1,<0.002,0.007,7.9,2.7,33.6,4.2,0.51,20,26.6,0.04,0.68,0.69,0.03,2.6,0.001,3.8,0.12,0.008
Dapeng Bay,Bay,MM17,2017-06-09,1,bottom layer,0.9,0.7,19,1.3,<1,<1,0.021,0.036,7.8,0.6,34.1,4.2,1.9,19,24.4,0.12,0.77,0.83,0.07,3.1,0.001,2.6,0.034,<0.002
Dapeng Bay,Bay,MM17,2017-06-10,1,surface layer,0.9,1.4,102,6.6,<1,<1,<0.002,<0.002,7.9,1.1,31.6,3,0.33,6.6,28.8,0.02,0.41,0.41,<0.02,4.7,<0.001,1.2,0.074,0.003
Dapeng Bay,Bay,MM17,2017-06-11,1,middle layer,0.6,2.4,92,6,<1,<1,<0.002,<0.002,7.8,1.4,32.1,3,0.5,6.7,28.3,0.02,0.75,0.75,<0.02,0.7,<0.001,1.4,0.087,0.011
Dapeng Bay,Bay,MM17,2017-06-12,1,bottom layer,1.5,5.6,34,2.3,<1,<1,0.079,0.015,7.6,2.4,33.1,3,1.9,21,26,0.11,0.66,0.75,0.04,0.9,<0.001,4.6,0.066,0.012
Dapeng Bay,Bay,MM17,2017-06-13,1,surface layer,0.3,1.2,90,6,<1,<1,<0.002,0.003,8.2,0.9,30.8,7,0.74,<0.5,27.7,0.03,0.2,0.21,0.03,2.1,0.002,<0.5,0.076,0.02
Dapeng Bay,Bay,MM17,2017-06-14,1,middle layer,0.2,1.7,89,5.9,<1,<1,0.005,0.009,8.1,0.9,31.1,7,0.74,1,27.4,0.03,0.22,0.23,<0.02,2.2,0.001,0.8,0.074,0.007
Dapeng Bay,Bay,MM17,2017-06-15,1,bottom layer,0.5,1.7,76,5.1,<1,1,0.068,0.056,8,1.5,31.9,7,1.2,2.7,26.8,0.13,0.56,0.68,0.04,4.2,<0.001,0.8,0.039,0.014
Dapeng Bay,Bay,MM17,2017-06-16,1,surface layer,0.9,1.4,88,6,<1,<1,<0.002,0.023,7.7,0.3,31.3,3,0.42,8.6,25.7,0.08,0.24,0.27,0.02,12.9,0.001,2,0.029,0.012
Dapeng Bay,Bay,MM17,2017-06-17,1,middle layer,0.4,2.9,89,6.1,<1,1,<0.002,0.024,7.7,0.8,31.3,3,0.46,8.8,25.8,0.06,0.29,0.32,<0.02,1.6,<0.001,1.5,0.04,0.011
Dapeng Bay,Bay,MM17,2017-06-18,1,bottom layer,0.2,1.5,91,6.2,<1,<1,0.004,0.01,7.7,0.7,31.3,3,0.45,13,25.8,0.05,0.37,0.38,<0.02,2,<0.001,2.3,0.02,0.006
Dapeng Bay,Bay,MM17,2017-06-19,1,surface layer,0.3,1.6,96,7,<1,<1,0.087,0.017,8.2,1,31.1,3,1.1,4.1,21.9,0.12,0.32,0.42,0.02,2.9,<0.001,0.8,0.042,0.009
Dapeng Bay,Bay,MM17,2017-06-20,1,middle layer,0.4,2.1,97,7.1,<1,<1,0.086,0.017,8.2,0.9,31.1,3,1.1,5.8,21.9,0.12,0.29,0.39,0.02,2.7,0.001,1.1,0.035,0.017
Dapeng Bay,Bay,MM17,2017-06-21,1,bottom layer,0.3,1.7,97,7.1,<1,<1,0.076,0.016,8.2,1.4,31.1,3,1.1,6.2,21.9,0.11,0.42,0.51,0.02,3.9,0.001,1.1,0.02,0.008
Dapeng Bay,Bay,MM19,2017-06-22,1,surface layer,0.7,2.2,94,7.7,<1,<1,0.11,0.018,7.8,0.8,31.5,4,0.77,0.5,16.1,0.16,0.36,0.49,0.02,3,<0.001,0.5,0.019,0.018
Dapeng Bay,Bay,MM19,2017-06-23,1,middle layer,0.5,1.1,94,7.6,<1,<1,0.11,0.019,7.8,<0.2,31.7,4,0.75,0.6,16.1,0.15,0.16,0.29,<0.02,3.2,<0.001,<0.5,0.011,0.02
Dapeng Bay,Bay,MM19,2017-06-24,1,bottom layer,0.5,1,96,7.7,<1,<1,0.096,0.018,7.7,<0.2,31.9,4,0.68,4.5,16.3,0.14,0.23,0.34,<0.02,4.9,<0.001,1.3,0.015,0.007
Dapeng Bay,Bay,MM19,2017-06-25,1,surface layer,0.9,3.6,99,8.3,<1,<1,0.18,0.022,7.6,<0.2,30.5,7,1.2,1.2,15.2,0.24,0.4,0.6,0.03,2.2,<0.001,0.7,0.034,0.017
Dapeng Bay,Bay,MM19,2017-06-26,1,middle layer,0.7,0.6,99,8.3,<1,<1,0.13,0.021,7.6,0.4,30.7,7,0.98,<0.5,15.1,0.19,0.27,0.42,0.03,2.1,<0.001,<0.5,0.013,0.024
Dapeng Bay,Bay,MM19,2017-06-27,1,bottom layer,0.6,0.9,103,8.5,1,1,0.064,0.01,7.9,<0.2,31.5,7,0.6,0.5,15.4,0.11,0.9,0.97,0.04,2.3,<0.001,<0.5,0.018,0.007
Dapeng Bay,Bay,MM19,2017-06-28,1,surface layer,4.7,35,155,12.5,<1,<1,0.007,<0.002,7.9,6.3,31.3,4,0.91,4.4,16.7,0.11,0.66,0.67,0.06,2.9,0.002,3.5,0.027,0.009
Dapeng Bay,Bay,MM19,2017-06-29,1,middle layer,1.1,1.3,111,9,<1,<1,0.04,0.002,7.7,<0.2,31.4,4,0.93,2.7,16.2,0.09,0.3,0.34,0.06,2.2,<0.001,0.8,0.017,0.003
Dapeng Bay,Bay,MM19,2017-06-30,1,bottom layer,0.3,0.8,103,8.3,<1,<1,0.054,0.003,7.7,0.3,31.9,4,0.89,6.6,16.4,0.1,0.32,0.38,0.14,3.1,<0.001,1,0.006,0.013
Dapeng Bay,Bay,MM19,2017-07-01,1,surface layer,4.9,19,107,7.9,<1,1,0.005,<0.002,8.1,2.4,31.7,3.5,0.69,4.1,20.8,0.03,0.51,0.52,0.04,0.4,<0.001,2.8,0.006,0.01
Dapeng Bay,Bay,MM19,2017-07-02,1,middle layer,0.8,0.6,89,6.7,<1,<1,0.011,<0.002,8,<0.2,32.4,3.5,0.59,0.6,19.8,0.07,0.34,0.35,<0.02,0.3,0.002,<0.5,0.009,0.011
Dapeng Bay,Bay,MM19,2017-07-03,1,bottom layer,0.8,0.4,89,6.6,<1,<1,0.004,0.003,8,<0.2,33.3,3.5,0.47,1.4,20.3,0.06,0.2,0.21,<0.02,2.3,0.002,<0.5,0.01,0.019
Dapeng Bay,Bay,MM19,2017-07-04,1,surface layer,0.7,0.7,81,5.5,<1,<1,0.012,<0.002,7.6,0.4,31,4,0.45,0.7,26.6,0.03,0.23,0.24,0.04,1,<0.001,<0.5,0.012,0.005
Dapeng Bay,Bay,MM19,2017-07-05,1,middle layer,0.4,1.2,76,5.2,<1,<1,0.008,0.004,7.5,<0.2,32.9,4,0.55,1.3,24.8,0.05,0.64,0.65,0.03,1,<0.001,0.5,0.012,0.005
Dapeng Bay,Bay,MM19,2017-07-06,1,bottom layer,0.3,0.8,70,4.8,1,1,0.007,0.004,7.4,<0.2,33.2,4,0.67,3.2,24.8,0.05,0.63,0.64,0.03,2.6,<0.001,0.6,0.044,0.016
Dapeng Bay,Bay,MM19,2017-07-07,1,surface layer,2.4,13,92,6.3,<1,8,0.13,0.036,7.2,6.3,31.2,3,0.66,4.8,25.3,0.2,0.61,0.78,0.04,1.4,<0.001,1.4,<0.005,0.007
Dapeng Bay,Bay,MM19,2017-07-08,1,middle layer,0.3,0.3,54,3.8,<1,<1,0.024,0.033,7.1,0.3,34.5,3,0.88,9.4,22.9,0.07,0.49,0.55,0.04,1.6,<0.001,2,<0.005,0.012
Dapeng Bay,Bay,MM19,2017-07-09,1,bottom layer,0.3,0.8,67,4.7,<1,<1,0.014,0.026,7.1,<0.2,34.6,3,0.62,12,22.2,0.05,0.98,1.02,0.08,2.8,<0.001,2.6,0.051,0.005
Dapeng Bay,Bay,MM19,2017-07-10,1,surface layer,3.9,26,174,11.6,1,3,0.021,0.003,8.4,5.3,28.9,2.5,0.08,3.6,27.9,0.06,1.1,1.12,0.11,1.9,0.004,1.7,0.059,0.012
Dapeng Bay,Bay,MM19,2017-07-11,1,middle layer,0.4,1.2,49,3.5,2,3,0.11,<0.002,7.9,<0.2,34.5,2.5,1.5,12,22.2,0.13,0.61,0.72,0.02,2.3,<0.001,2,0.046,0.021
Dapeng Bay,Bay,MM19,2017-07-12,1,bottom layer,0.4,1.1,53,3.8,<1,1,0.086,0.008,7.9,0.4,34.6,2.5,1.2,9.8,21.9,0.11,0.66,0.75,0.03,6.8,<0.001,1.8,0.094,0.009
Dapeng Bay,Bay,MM19,2017-07-13,1,surface layer,0.2,2.9,93,6.2,<1,<1,0.003,0.003,8.1,0.5,33,4,0.35,10,26.8,0.03,0.31,0.32,<0.02,2.4,0.001,2.3,0.072,0.004
Dapeng Bay,Bay,MM19,2017-07-14,1,middle layer,<0.1,0.5,58,4.1,<1,<1,0.047,0.02,8,0.2,34.1,4,0.8,7.2,23.5,0.08,0.5,0.57,0.02,3,<0.001,0.8,0.054,0.007
Dapeng Bay,Bay,MM19,2017-07-15,1,bottom layer,<0.1,1.2,55,3.9,1,3,0.062,0.018,8,<0.2,34.2,4,1,18,23.2,0.1,0.5,0.58,0.04,4.7,<0.001,2,0.049,0.004
Dapeng Bay,Bay,MM19,2017-07-16,1,surface layer,0.4,1.2,92,6.1,<1,2,0.062,0.018,8,0.9,31.9,4,0.87,1.1,27.4,0.11,0.37,0.45,<0.02,5.8,0.001,0.6,0.048,0.005
Dapeng Bay,Bay,MM19,2017-07-17,1,middle layer,0.2,0.4,56,3.7,<1,<1,0.086,0.019,8,0.3,32.9,4,1.2,1.5,26.4,0.11,0.8,0.91,0.05,2.8,<0.001,0.8,0.043,0.004
Dapeng Bay,Bay,MM19,2017-07-18,1,bottom layer,0.3,0.5,20,1.4,<1,<1,0.15,0.003,7.8,1,34.2,4,2.3,5.1,23.6,0.16,0.24,0.39,0.04,5.2,<0.001,1.2,0.063,0.014
Dapeng Bay,Bay,MM19,2017-07-19,1,surface layer,0.8,1.6,86,5.7,<1,4,0.18,0.019,8.1,0.4,31.4,2,1.5,2.5,27.3,0.2,0.1,0.3,0.04,4.6,<0.001,0.9,0.051,0.024
Dapeng Bay,Bay,MM19,2017-07-20,1,middle layer,0.8,1.1,88,5.9,1,7,0.19,0.017,8,<0.2,31.5,2,1.5,4.4,26.4,0.21,0.07,0.28,0.03,4.9,<0.001,0.8,0.082,0.014
Dapeng Bay,Bay,MM19,2017-07-21,1,bottom layer,0.5,1.6,88,5.9,1,2,0.18,0.018,8,<0.2,31.5,2,1.5,5.3,26.4,0.2,0.14,0.34,0.04,5.5,<0.001,1.1,0.02,0.011
Dapeng Bay,Bay,MM19,2017-07-22,1,surface layer,0.3,1.3,87,6.2,<1,<1,0.079,0.019,8,0.7,31.8,4,1,8.5,23.3,0.12,0.23,0.33,0.03,7.6,<0.001,1.1,0.025,0.014
Dapeng Bay,Bay,MM19,2017-07-23,1,middle layer,0.3,1.5,97,6.8,<1,<1,0.078,0.019,8,1.4,31.3,4,1,12,24.2,0.12,0.22,0.32,0.03,3,<0.001,1.8,0.031,0.021
Dapeng Bay,Bay,MM19,2017-07-24,1,bottom layer,0.2,1,96,6.7,<1,<1,0.064,0.024,8,0.7,31.3,4,0.91,12,24.3,0.11,0.22,0.31,0.02,3.8,<0.001,1.3,0.019,0.011
Dapeng Bay,Bay,MM19,2017-07-25,1,surface layer,0.8,2.1,91,6.6,<1,<1,0.13,0.013,8.1,1.3,31,2.5,1.3,3.2,22.8,0.15,0.15,0.29,0.02,3.5,<0.001,1.3,0.036,0.011
Dapeng Bay,Bay,MM19,2017-07-26,1,middle layer,0.3,1.1,96,6.9,<1,<1,0.14,0.012,8.1,0.9,31,2.5,1.3,2.4,22.6,0.16,0.19,0.34,0.03,3.8,<0.001,0.7,0.036,0.018
Dapeng Bay,Bay,MM19,2017-07-27,1,bottom layer,0.3,1.2,95,6.9,<1,<1,0.14,0.012,8.1,<0.2,31,2.5,1.3,3.5,22.5,0.16,0.2,0.35,0.04,4.4,<0.001,0.9,0.017,0.014
Dapeng Bay,Bay,MM2,2017-07-28,1,surface layer,2.2,7.8,111,8.5,<1,1,0.007,0.003,8,0.6,31.6,3,0.33,15,19.1,0.06,0.65,0.66,<0.02,1.2,0.001,3.1,0.016,0.008
Dapeng Bay,Bay,MM2,2017-07-29,1,middle layer,1.9,8.3,110,8.4,<1,<1,0.009,0.003,8,1.6,31.6,3,0.33,18,19.2,0.06,0.78,0.79,0.02,1.1,0.001,3.4,0.011,0.016
Dapeng Bay,Bay,MM2,2017-07-30,1,bottom layer,1.3,4.9,108,8.3,<1,<1,0.013,0.004,8,1.5,31.7,3,0.36,17,19.2,0.06,0.16,0.18,<0.02,1.1,0.001,3.3,0.012,0.012
Dapeng Bay,Bay,MM2,2017-07-31,1,surface layer,0.5,4.9,166,13.6,<1,<1,0.004,<0.002,8.4,1.8,30.6,4,0.76,<0.5,15.7,0.05,0.42,0.43,0.09,1.7,0.003,<0.5,0.016,0.02
Dapeng Bay,Bay,MM2,2017-08-01,1,middle layer,2.1,6.8,120,10,2,4,0.021,0.003,8.3,1.9,30.7,4,0.76,2.4,15.4,0.09,0.48,0.5,0.04,0.6,0.003,1,0.013,0.022
Dapeng Bay,Bay,MM2,2017-08-02,1,bottom layer,0.9,1.5,115,9.5,1,2,0.033,0.005,8.2,1.3,30.7,4,0.75,0.5,15.3,0.09,0.33,0.37,0.03,0.5,0.002,0.5,0.024,0.003
Dapeng Bay,Bay,MM2,2017-08-03,1,surface layer,3.8,17,92,7.5,3,5,0.018,0.002,8.3,11,31.3,3,1.1,3.3,16.3,0.1,0.81,0.83,0.04,1.4,0.003,0.9,0.028,0.005
Dapeng Bay,Bay,MM2,2017-08-04,1,middle layer,0.7,1.1,74,6,3,3,0.033,0.002,8.2,<0.2,31.3,3,1.1,4,16.3,0.1,0.48,0.52,0.02,1.7,0.003,2.6,0.035,0.014
Dapeng Bay,Bay,MM2,2017-08-05,1,bottom layer,0.6,1.8,66,5.3,1,3,0.044,0.004,8.2,<0.2,31.3,3,1.1,4.6,16.3,0.14,0.5,0.55,0.03,2.8,0.003,1,0.009,0.005
Dapeng Bay,Bay,MM2,2017-08-06,1,surface layer,1.1,0.4,84,6.3,24,34,0.064,0.003,8,0.4,29.3,6,0.99,1.1,20.8,0.21,0.43,0.5,0.03,1,0.005,0.8,0.005,0.01
Dapeng Bay,Bay,MM2,2017-08-07,1,middle layer,0.8,0.2,89,6.7,10,13,0.021,<0.002,8,<0.2,31.3,6,1.1,1,19.9,0.1,0.41,0.43,0.02,0.3,0.002,<0.5,0.011,0.009
Dapeng Bay,Bay,MM2,2017-08-08,1,bottom layer,0.6,0.7,68,5.2,11,16,0.014,<0.002,7.9,<0.2,31.6,6,1.2,0.9,19.1,0.09,0.32,0.34,0.02,0.6,0.002,<0.5,0.011,0.008
Dapeng Bay,Bay,MM2,2017-08-09,1,surface layer,1.6,2.2,83,5.7,<1,<1,0.007,<0.002,7.7,<0.2,30.8,4,0.34,1.4,25.3,0.06,0.45,0.46,<0.02,1.2,0.001,0.8,0.013,0.008
Dapeng Bay,Bay,MM2,2017-08-10,1,middle layer,2,1.9,82,5.6,<1,1,0.007,0.002,7.7,0.3,31,4,0.38,1,25.1,0.06,0.77,0.78,<0.02,0.9,0.001,1,0.013,0.019
Dapeng Bay,Bay,MM2,2017-08-11,1,bottom layer,1.1,0.3,75,5.2,1,1,0.014,0.008,7.6,1.9,31.5,4,0.83,2,24.6,0.08,0.53,0.55,0.02,1.4,<0.001,0.8,0.024,0.009
Dapeng Bay,Bay,MM2,2017-08-12,1,surface layer,1.5,7,112,7.3,2,13,0.004,<0.002,8.2,1.4,31.3,3,0.16,19,28.1,0.03,0.39,0.4,0.05,1.6,0.002,3.8,<0.005,0.005
Dapeng Bay,Bay,MM2,2017-08-13,1,middle layer,1.2,5.4,84,5.5,53,120,0.008,0.04,8.2,1.8,31.3,3,0.71,20,28.1,0.09,0.5,0.55,0.03,1.9,0.003,4.2,<0.005,0.016
Dapeng Bay,Bay,MM2,2017-08-14,1,bottom layer,0.3,1.4,81,5.4,8,27,0.009,0.064,8,<0.2,32.7,3,1.2,11,26.6,0.1,0.43,0.5,0.05,2.3,0.001,2.1,0.084,0.011
Dapeng Bay,Bay,MM2,2017-08-15,1,surface layer,1.7,3.5,104,6.7,<1,2,0.023,<0.002,7.8,1,27.9,2.5,0.2,2.3,30.3,0.03,0.17,0.2,0.04,1.7,<0.001,2,0.09,0.022
Dapeng Bay,Bay,MM2,2017-08-16,1,middle layer,0.5,0.8,98,6.5,13,25,0.054,0.021,7.5,<0.2,30.2,2.5,1.2,1.6,28.2,0.12,0.98,1.06,0.03,0.8,<0.001,1,0.058,0.011
Dapeng Bay,Bay,MM2,2017-08-17,1,bottom layer,0.9,0.8,30,2.1,7,11,0.11,0.024,7.3,<0.2,32.4,2.5,1.9,2.8,25.6,0.16,0.77,0.9,0.05,1.5,<0.001,1.2,0.049,0.006
Dapeng Bay,Bay,MM2,2017-08-18,1,surface layer,1.6,6.6,114,7.4,580,1300,0.005,<0.002,8.1,2.2,31.8,3,0.28,23,28.4,0.04,0.65,0.66,0.03,3.1,0.002,4.8,0.038,0.009
Dapeng Bay,Bay,MM2,2017-08-19,1,middle layer,0.6,4.5,91,6,15,49,0.004,0.008,8,0.8,32.4,3,0.5,20,27.9,0.04,0.47,0.48,0.02,2.6,0.002,3.5,0.041,0.019
Dapeng Bay,Bay,MM2,2017-08-20,1,bottom layer,0.9,4.1,90,6,1,3,0.003,0.01,7.9,3,33.3,3,0.66,16,26.6,0.05,0.39,0.4,0.02,3.3,0.002,2.8,0.06,0.012
Dapeng Bay,Bay,MM2,2017-08-21,1,surface layer,2.3,7.3,97,6.2,<1,3,<0.002,<0.002,8.1,2.9,30.9,2,0.11,20,30,0.02,0.17,0.17,0.05,17.7,<0.001,5.1,0.035,0.011
Dapeng Bay,Bay,MM2,2017-08-22,1,middle layer,1.6,4.7,121,7.8,<1,<1,<0.002,<0.002,8,2.6,31.4,2,0.31,13,29.3,0.01,0.43,0.43,0.02,0.9,<0.001,3.6,0.04,0.008
